fecha,ano,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,camas_generales_totales,camas_generales_cdmx,camas_generales_edomex
2021-06-05,2021,junio,5,792,587,205,261,214,47,531,373,158
2021-06-06,2021,junio,6,778,574,204,264,220,44,514,354,160
2021-06-07,2021,junio,7,800,599,201,276,229,47,524,370,154
2021-06-08,2021,junio,8,798,606,192,267,224,43,531,382,149
2021-06-09,2021,junio,9,816,630,186,266,223,43,550,407,143
2021-06-10,2021,junio,10,803,615,188,266,224,42,537,391,146
2021-06-11,2021,junio,11,787,597,190,264,227,37,523,370,153
2021-06-12,2021,junio,12,761,579,182,253,217,36,508,362,146
2021-06-13,2021,junio,13,787,597,190,256,219,37,531,378,153
2021-06-14,2021,junio,14,803,614,189,265,227,38,538,387,151
2021-06-15,2021,junio,15,823,624,199,277,246,31,546,378,168
2021-06-16,2021,junio,16,829,624,205,287,253,34,542,371,171
2021-06-17,2021,junio,17,836,642,194,282,250,32,554,392,162
2021-06-18,2021,junio,18,816,641,175,273,245,28,543,396,147
2021-06-19,2021,junio,19,816,643,173,278,247,31,538,396,142
2021-06-20,2021,junio,20,813,638,175,270,242,28,543,396,147
2021-06-21,2021,junio,21,858,665,193,280,248,32,578,417,161
2021-06-22,2021,junio,22,895,679,216,291,253,38,604,426,178
2021-06-23,2021,junio,23,882,677,205,285,245,40,597,432,165
2021-06-24,2021,junio,24,943,716,227,306,263,43,637,453,184
2021-06-25,2021,junio,25,943,710,233,315,268,47,628,442,186
2021-06-26,2021,junio,26,962,731,231,320,276,44,642,455,187
2021-06-27,2021,junio,27,990,755,235,321,279,42,669,476,193
2021-06-28,2021,junio,28,1031,785,246,324,285,39,707,500,207
2021-06-29,2021,junio,29,1076,810,266,337,300,37,739,510,229
2021-06-30,2021,junio,30,1140,866,274,361,320,41,779,546,233
2021-07-01,2021,julio,1,1158,862,296,352,310,42,806,552,254
2021-07-02,2021,julio,2,1152,863,289,362,317,45,790,546,244
2021-07-03,2021,julio,3,1209,901,308,380,333,47,829,568,261
2021-07-04,2021,julio,4,1249,921,328,378,333,45,871,588,283
2021-07-05,2021,julio,5,1372,1029,343,395,341,54,977,688,289
2021-07-06,2021,julio,6,1454,1093,361,408,355,53,1046,738,308
2021-07-07,2021,julio,7,1546,1150,396,428,374,54,1118,776,342
2021-07-08,2021,julio,8,1627,1213,414,464,400,64,1163,813,350
2021-07-09,2021,julio,9,1781,1324,457,491,433,58,1290,891,399
2021-07-10,2021,julio,10,1916,1416,500,534,463,71,1382,953,429
2021-07-11,2021,julio,11,2012,1474,538,551,480,71,1461,994,467
2021-07-12,2021,julio,12,2146,1575,571,559,480,79,1587,1095,492
2021-07-13,2021,julio,13,2327,1699,628,589,496,93,1738,1203,535
2021-07-14,2021,julio,14,2404,1770,634,597,500,97,1807,1270,537
2021-07-15,2021,julio,15,2538,1871,667,639,532,107,1899,1339,560
